objectid,eacode,secter_in_180,lisa_i_secter,lisa_cl_secter,lisa_p_secter,moran_std_secter,moran_lag_secter
124,20303034,1,.030144479,not significant,.48699999,-.17362165,-.17362165
125,20702037,0,.15363233,not significant,.156,-.43034667,-.35699666
126,10534011,3,.11548332,not significant,.189,.33982837,.33982837
127,20501014,2,-.014428542,not significant,.43399999,.083103359,-.17362165
128,30306108,2,.0069061681,not significant,.377,.083103359,.083103359
129,20406013,0,.16310211,not significant,.16,-.43034667,-.37900168
130,20704035,0,.18519826,low-low,.014,-.43034667,-.43034667
131,31201034,1,.030144479,not significant,.44,-.17362165,-.17362165
132,31002021,1,.030144479,not significant,.40200001,-.17362165,-.17362165
133,30548016,11,5.7294574,high-high,.001,2.3936284,2.3936284
134,20807014,1,.041287735,not significant,.43099999,-.17362165,-.23780291
135,30701901,2,.0012169119,not significant,.43599999,.083103359,.014643352
136,30901149,1,.030144479,not significant,.39199999,-.17362165,-.17362165
137,20602051,1,.037573315,not significant,.491,-.17362165,-.21640916
138,20802025,0,.18519826,not significant,.050999999,-.43034667,-.43034667
139,20615044,0,.12206639,not significant,.35600001,-.43034667,-.28364667
140,20601002,3,.25257859,not significant,.057,.33982837,.74325341
141,30701012,1,.030144479,not significant,.461,-.17362165,-.17362165
142,30304019,0,.11154442,not significant,.463,-.43034667,-.25919667
143,20109012,0,.18519826,low-low,.02,-.43034667,-.43034667
144,30620704,1,.030144479,not significant,.414,-.17362165,-.17362165
145,20111010,0,.18519826,low-low,.026000001,-.43034667,-.43034667
146,10102014,0,.14837134,not significant,.204,-.43034667,-.34477165
147,30539019,11,5.7294574,high-high,.001,2.3936284,2.3936284
148,10104012,0,.18519826,low-low,.02,-.43034667,-.43034667
149,10503015,0,.18519826,low-low,.011,-.43034667,-.43034667
150,20680004,16,14.466236,high-high,.001,3.6772535,3.9339786
151,20687027,19,19.779621,high-high,.001,4.4474287,4.4474287
